GAME_ID,SEASON,DAY_OF_WEEK,MONTH,DAY,YEAR,HOUR,VISITOR_TEAM,VISITOR_POINTS,HOME_TEAM,HOME_POINTS,OT,OTHER
201201220LAC,2012,Sun,01,22,2012,12:30 pm,Toronto,91,L.A. Clippers,103,"19,060"
201201220LAL,2012,Sun,01,22,2012,6:30 pm,Indiana,98,L.A. Lakers,96,"18,997"
201201220MIA,2012,Sun,01,22,2012,6:00 pm,Milwaukee,91,Miami,82,"19,600"
201201220NJN,2012,Sun,01,22,2012,6:00 pm,Charlotte,87,Brooklyn,97,"10,035"
201201220WAS,2012,Sun,01,22,2012,1:00 pm,Boston,100,Washington,94,"15,818"
201201230BOS,2012,Mon,01,23,2012,7:30 pm,Orlando,56,Boston,87,"18,624"
201201230CHI,2012,Mon,01,23,2012,7:00 pm,Brooklyn,95,Chicago,110,"21,572"
201201230DAL,2012,Mon,01,23,2012,7:30 pm,Phoenix,87,Dallas,93,"19,944"
201201230GSW,2012,Mon,01,23,2012,7:30 pm,Memphis,91,Golden State,90,"17,549"
201201230MIL,2012,Mon,01,23,2012,7:00 pm,Atlanta,97,Milwaukee,92,"13,048"
201201230MIN,2012,Mon,01,23,2012,7:00 pm,Houston,107,Minnesota,92,"16,924"
201201230NOH,2012,Mon,01,23,2012,7:00 pm,San Antonio,104,New Orleans Hornets,102,"12,599"
201201230OKC,2012,Mon,01,23,2012,7:00 pm,Detroit,79,Oklahoma City Thunder,99,"18,203"
201201230PHI,2012,Mon,01,23,2012,7:00 pm,Washington,83,Philadelphia,103,"10,108"
201201230POR,2012,Mon,01,23,2012,7:00 pm,Sacramento,89,Portland,101,"20,363"
201201240CHA,2012,Tue,01,24,2012,7:00 pm,New York,111,Charlotte,78,"16,802"
